name	taglines	imdb_rating	release_date	runtimes	countries	rated	genre	summary	director	cast	poster	screenshot1	screenshot2	screenshot3
Little Women	Own your story	 7.9	Dec. 25, 2019	135 Min.	United States	PG	('Romance', 'Drama')	 Four sisters come of age in America in the aftermath of the Civil War. 	Greta Gerwig	('Emma Watson', 'Eliza Scanlen', 'James Norton', 'Saoirse Ronan', 'Laura Dern', 'Timothée Chalamet', 'Meryl Streep', 'Florence Pugh', 'Bob Odenkirk', 'Tracy Letts')	https://image.tmdb.org/t/p/w185/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg	https://image.tmdb.org/t/p/original/3uTxPIdVEXxHpsHOHdJC24QebBV.jpg	https://image.tmdb.org/t/p/original/lqxxwTRk0l7CubY6JkJdhnwJEkn.jpg	https://image.tmdb.org/t/p/original/A8EzeMnCrQfnNZVpULItCbYlK7C.jpg
Just Mercy	Every generation has its hero. Meet ours.	 7.5	Dec. 25, 2019	136 Min.	United States	PG-13	('Crime', 'Drama')	 The powerful true story of Harvard-educated lawyer Bryan Stevenson, who goes to Alabama to defend the disenfranchised and wrongly condemned — including Walter McMillian, a man sentenced to death despite evidence proving his innocence. Bryan fights tirelessly for Walter with the system stacked against them. 	Destin Daniel Cretton	"('Rafe Spall', 'Brie Larson', 'Drew Scheid', 'Tim Blake Nelson', 'Michael B. Jordan', 'Steve Coulter', ""O'Shea Jackson Jr."", 'Jamie Foxx', 'Rob Morgan', 'Mary Kraft')"	https://image.tmdb.org/t/p/w185/4YJNp1cquIkX8JxFwkKNEFQ9tgr.jpg	https://image.tmdb.org/t/p/original/4x2AKefQtj8TmzxyRJEEdAayj1V.jpg	https://image.tmdb.org/t/p/original/zNqsGEWHlXwFw8wod0HDkgrvsl8.jpg	https://image.tmdb.org/t/p/original/3gVo3f5We49VKk5BKEIRkxcibwz.jpg
1917	Time is the enemy	 8.3	Dec. 25, 2019	119 Min.	United States	R	('War', 'Drama', 'Action', 'Thriller')	 At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers. 	Sam Mendes	('Richard Madden', 'Daniel Mays', 'Benedict Cumberbatch', 'Adrian Scarborough', 'Andrew Scott', 'Mark Strong', 'Dean-Charles Chapman', 'George MacKay', 'Claire Duburcq', 'Colin Firth')	https://image.tmdb.org/t/p/w185/AuGiPiGMYMkSosOJ3BQjDEAiwtO.jpg	https://image.tmdb.org/t/p/original/2WgieNR1tGHlpJUsolbVzbUbE1O.jpg	https://image.tmdb.org/t/p/original/2lBOQK06tltt8SQaswgb8d657Mv.jpg	https://image.tmdb.org/t/p/original/cqa3sa4c4jevgnEJwq3CMF8UfTG.jpg
Kamen Rider Reiwa: The First Generation		 6.9	Dec. 21, 2019	N/A	Japan	N/A	('Adventure', 'Action', 'Science Fiction')	 The world of Kamen Rider Zero-One and the world of Kamen Rider Zi-O. The two heroes live in different worlds, but what is waiting for them after crossing time and space into a single world? Union or conflict? This winter marks a new legend in the history of Kamen Rider. 	Teruaki Sugihara	('Keisuke Watanabe', 'Ryutaro Okada', 'Gaku Oshida', 'Hiroe Igeta', 'Shieri Ohata', 'Fumiya Takahashi', 'Rina Ikoma', 'Soko Wada', 'Noa Tsurushima', 'So Okuno')	https://image.tmdb.org/t/p/w185/zqHYAIEZMAA9kOtg49RogthZFM.jpg	N/A	N/A	N/A
Ip Man 4: The Finale		 7.1	Dec. 19, 2019	105 Min.	Hong Kong	N/A	('History', 'Drama', 'Action')	 Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son. 	Yuen Woo-ping	('Danny Chan Kwok-Kwan', 'Lynn Hung', 'Wu Yue', 'Scott Adkins', 'Vanda Lee', 'Vanness Wu', 'Karena Ng', 'Donnie Yen', 'Kent Cheng', 'Ngo Ka-nin')	https://image.tmdb.org/t/p/w185/b5cz6BoyHrgBnhfDHOW5hXRWbln.jpg	https://image.tmdb.org/t/p/original/ekP6EVxL81lZ4ivcqPsoZ72rY0h.jpg	https://image.tmdb.org/t/p/original/hb3kjSQI0lwGUCIxnfAYec08VSq.jpg	https://image.tmdb.org/t/p/original/m29BvquHVNseBdISN1RJLnl5xwe.jpg
Star Wars: The Rise of Skywalker	Every generation has a legend	 6.7	Dec. 18, 2019	142 Min.	United States	PG-13	('Adventure', 'Action', 'Science Fiction')	 The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins. 	J.J. Abrams	('Anthony Daniels', 'Mark Hamill', 'Richard E. Grant', 'Naomi Ackie', 'Domhnall Gleeson', 'John Boyega', 'Daisy Ridley', 'Adam Driver', 'Carrie Fisher', 'Oscar Isaac')	https://image.tmdb.org/t/p/w185/db32LaOibwEliAmSL2jjDF6oDdj.jpg	https://image.tmdb.org/t/p/original/jOzrELAzFxtMx2I4uDGHOotdfsS.jpg	https://image.tmdb.org/t/p/original/99QDSTfr9bOqv1kbn8YRlynbgU.jpg	https://image.tmdb.org/t/p/original/zRtBdIe0UoDEFST3N5bXML6SAcI.jpg
6 Underground	They say no one can save the world. Meet no one.	 6.1	Dec. 13, 2019	127 Min.	United States	R	('Action', 'Thriller')	 After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator. 	Michael Bay	('Yuri Kolokolnikov', 'Lior Raz', 'Peyman Maadi', 'Corey Hawkins', 'Manuel Garcia-Rulfo', 'Mélanie Laurent', 'Ryan Reynolds', 'Ben Hardy', 'Dave Franco', 'Adria Arjona')	https://image.tmdb.org/t/p/w185/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg	https://image.tmdb.org/t/p/original/eFw5YSorHidsajLTayo1noueIxI.jpg	https://image.tmdb.org/t/p/original/tgR2ZgSodg53U4QaDfbwCv9qOV8.jpg	https://image.tmdb.org/t/p/original/fY7cmy2fcP9huQm6F7k3pejNk2H.jpg
Richard Jewell		 7.5	Dec. 13, 2019	131 Min.	United States	R	('Crime', 'Drama')	 Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage. 	Clint Eastwood	('Sam Rockwell', 'Wayne Duvall', 'Ian Gomez', 'Kathy Bates', 'Dylan Kussman', 'Mike Pniewski', 'Nina Arianda', 'Jon Hamm', 'Olivia Wilde', 'Paul Walter Hauser')	https://image.tmdb.org/t/p/w185/5Lgkm8jt4roAFPZQ52fKMhVmDaZ.jpg	https://image.tmdb.org/t/p/original/zAfG4ZmpNfKSyr8MVn1CHjgYYXx.jpg	https://image.tmdb.org/t/p/original/eI47UaW7HOexddV2Ozx4oI38gco.jpg	https://image.tmdb.org/t/p/original/rBzy2sfE9s6Kq3I7PtkDf0Zy8GO.jpg
Bombshell	Based on a Real Scandal	 6.8	Dec. 13, 2019	108 Min.	United States	R	('Drama',)	 Bombshell is a revealing look inside the most powerful and controversial media empire of all time; and the explosive story of the women who brought down the infamous man who created it. 	Jay Roach	('Malcolm McDowell', 'Allison Janney', 'Charlize Theron', 'Connie Britton', 'Liv Hewson', 'Nicole Kidman', 'Brigette Lundy-Paine', 'Margot Robbie', 'Kate McKinnon', 'John Lithgow')	https://image.tmdb.org/t/p/w185/gbPfvwBqbiHpQkYZQvVwB6MVauV.jpg	https://image.tmdb.org/t/p/original/nj84vpuUWdbmYktBzjiWn5Ny1ZF.jpg	https://image.tmdb.org/t/p/original/ghQrKrcEpAlkzBuNoOCSxHQXWqw.jpg	https://image.tmdb.org/t/p/original/iXcXTsBbFRhK85nV0Fs1VpEUzcL.jpg
Code 8	Fear is the most dangerous power	 6.1	Dec. 06, 2019	99 Min.	Canada	N/A	('Crime', 'Action', 'Science Fiction', 'Drama', 'Thriller')	 In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.) 	Jeff Chan	('Kyla Kane', 'Peter Outerbridge', 'Kari Matchett', 'Laysla De Oliveira', 'Sung Kang', 'Robbie Amell', 'Vlad Alexis', 'Stephen Amell', 'Aaron Abrams', 'Greg Bryk')	https://image.tmdb.org/t/p/w185/mz3pXqYkajrHFl1RbuXJZ1GzSsu.jpg	https://image.tmdb.org/t/p/original/wlnDNMQlnwl5ETlVY6n9CEtR5s0.jpg	https://image.tmdb.org/t/p/original/sna617r0Sv4Ba34UMGvtIoqBU3t.jpg	https://image.tmdb.org/t/p/original/qUvv1lr0oyUZVaQ0fzphtZshWrJ.jpg
